price,sqft,bedroom,bathroom,balcony,apartment,age,ownership,maintenance,flooring,furnishing,facing,floor,parking,gated_security,amenities,locality
₹ 2.5 Crores,"2,400",3 Bedroom,3 Bathroom,2.0,Kailash,Newly Constructed,Self Owned,Newly Constructed,Vitrified Tiles,Semi,North,1/5,Bike and Car,Yes,"['Lift', 'Security']",Nagawara
₹ 1.08 Crores,"1,400",3 Bedroom,3 Bathroom,3.0,Rajata Greens Apart...,5-10 years,Self Owned,5-10 years,,Semi,North-East,6/7,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Nagawara
₹ 78 Lacs,"1,300",3 Bedroom,3 Bathroom,1.0,Andeavor,5-10 years,Self Owned,5-10 years,,Semi,3/4,3/4,Bike,Yes,,Nagawara
₹ 58 Lacs,"1,300",2 Bedroom,2 Bathroom,4.0,Lemon Tree,5-10 years,Self Owned,5-10 years,Marble/Granite,Fully furnished,West,1/1,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Intercom', ""Children's play area"", 'Security', 'Park', 'Visitor parking']",Nagawara
₹ 1.08 Crores,"1,672",3 Bedroom,3 Bathroom,2.0,Visalakshi Rajatha ...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,North-West,6/7,Car,Yes,"['Security', 'Gym']",Nagawara
₹ 45 Lacs,620,1 Bedroom,1 Bathroom,,Vaibhav&#39;s Pride,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,3/4,Bike,No,"['Lift', 'Gym', 'Intercom']",Nagawara
₹ 82 Lacs,"1,360",2 Bedroom,2 Bathroom,2.0,Murthy Elegance,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Semi,0/4,0/4,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Intercom', ""Children's play area"", 'Fire safety', 'Security', 'Visitor parking']",Nagawara
₹ 81 Lacs,"1,307",2 Bedroom,2 Bathroom,,Rajata Greens Apart...,5-10 years,Self Owned,5-10 years,,Semi,North-West,7/7,Bike and Car,Yes,,Nagawara
₹ 1 Crore,"1,420",3 Bedroom,2 Bathroom,1.0,Aryan Faery,Newly Constructed,Self Owned,Newly Constructed,,Fully furnished,North,2/4,Bike and Car,Yes,"['Gym', 'Security']",Nagawara
₹ 62 Lacs,"1,100",2 Bedroom,2 Bathroom,1.0,Vintage Blossom Apa...,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,North,2/5,Bike and Car,No,['Lift'],Nagawara
₹ 1.08 Crores,"1,672",3 Bedroom,3 Bathroom,2.0,Rajatha Greens Apar...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,North-West,6/7,Bike and Car,Yes,"['Gym', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Park', 'Visitor parking']",Nagawara
₹ 81 Lacs,"1,307",2 Bedroom,2 Bathroom,2.0,Visalakshi Rajatha ...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,North-West,7/7,Car,Yes,"['Gym', 'Security']",Nagawara
₹ 95 Lacs,"1,190",2 Bedroom,2 Bathroom,,Sai Patham Towers,>10 years,Self Owned,>10 years,,Fully furnished,North-East,4/5,Bike and Car,Yes,"['Gym', 'Intercom']",Nagawara
₹ 1.05 Crores,"1,675",3 Bedroom,3 Bathroom,2.0,Rajatha Greens Apar...,3-5 years,Self Owned,3-5 years,,Semi,West,6/7,Bike and Car,Yes,"['Lift', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Nagawara
₹ 57 Lacs,"1,350",3 Bedroom,3 Bathroom,,"Crescent Harmony, N...",5-10 years,Self Owned,5-10 years,Marble/Granite,Semi,South,1/1,Car,No,,Nagawara
₹ 1 Crore,"1,150",2 Bedroom,2 Bathroom,1.0,No Name,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,North,3/4,Car,No,"['Club house', ""Children's play area""]",Nagawara
₹ 25 Lacs,600,2 Bedroom,2 Bathroom,,Saniya Appartment,Newly Constructed,Self Owned,Newly Constructed,,Unfurnished,4/5,4/5,Bike,Yes,['Security'],Nagawara
₹ 45 Lacs,550,2 Bedroom,1 Bathroom,,Standalone Building,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Unfurnished,North,2/4,Bike and Car,No,"['Lift', 'Fire safety', 'Visitor parking']",Nagawara
₹ 3.5 Crores,"5,800",4 Bedroom,13 Bathroom,,Standalone Building,3-5 years,Self Owned,3-5 years,,Unfurnished,East,0/4,No,No,,Nagawara
₹ 95 Lacs,"1,365",3 Bedroom,2 Bathroom,2.0,Rajatha Greens,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,South,4/8,Bike and Car,Yes,"['Gym', 'Security']",Nagawara
₹ 2.85 Crores,"4,200",4 Bedroom,7 Bathroom,,Standalone Building,5-10 years,Self Owned,5-10 years,,Semi,South-East,0/3,Bike and Car,No,,Nagawara
₹ 1 Crore,"1,730",3 Bedroom,3 Bathroom,4.0,Muzzammil Residency,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,3/5,Car,Yes,"['Lift', 'Gas pipeline', ""Children's play area"", 'Security']",Nagawara
₹ 1.2 Crores,"1,968",3 Bedroom,3 Bathroom,4.0,Rajatha Greens Apar...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,2/8,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Park', 'Sewage treatment plant', 'Visitor parking']",Nagawara
₹ 1.6 Crores,"2,400",4 Bedroom,5 Bathroom,,Standalone Building,Newly Constructed,Self Owned,Newly Constructed,,Unfurnished,East,0/3,No,No,,Nayandahalli
₹ 55 Lacs,800,2 Bedroom,2 Bathroom,,Grc Brundavan,1-3 years,Self Owned,1-3 years,,Semi,East,4/13,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Security', 'Park', 'Visitor parking']",Nayandahalli
₹ 2.25 Crores,"1,749",3 Bedroom,3 Bathroom,1.0,Salarpuria Sattva D...,Newly Constructed,Self Owned,Newly Constructed,Vitrified Tiles,Semi,North,2/22,Bike and Car,Yes,,Nayandahalli
₹ 65 Lacs,"2,640",4 Bedroom,1 Bathroom,,Independent House,5-10 years,Self Owned,5-10 years,"2,640 sq.ft",Unfurnished,East,1/2,No,No,,Nayandahalli
₹ 1.2 Crores,"1,180",2 Bedroom,2 Bathroom,1.0,Salarpuria Sattva D...,Newly Constructed,Self Owned,Newly Constructed,Vitrified Tiles,Unfurnished,West,17/21,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Nayandahalli
₹ 1.6 Crores,"3,500",4 Bedroom,7 Bathroom,,Standalone Building,5-10 years,Self Owned,5-10 years,"3,500 sq.ft",0/3,North,0/3,Bike and Car,No,,Nayandahalli
₹ 1.25 Crores,"2,700",3 Bedroom,5 Bathroom,2.0,Independent House,5-10 years,Self Owned,5-10 years,"2,700 sq.ft",Fully furnished,North-East,0/1,Bike and Car,No,,Nayandahalli
₹ 70 Lacs,"1,185",2 Bedroom,2 Bathroom,2.0,Mbr Sinfonia,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Fully furnished,East,0/4,Car,Yes,"['Intercom', 'Internet provider', 'Lift', 'Club house', 'Fire safety', 'Sewage treatment plant', 'Park', ""Children's play area"", 'Security', 'Gym', 'Visitor parking']",Nayandahalli
₹ 2.6 Crores,"4,400",4 Bedroom,11 Bathroom,4.0,Independent House,Newly Constructed,Self Owned,Newly Constructed,"4,400 sq.ft",Fully furnished,East,0/3,Car,No,"['Gas pipeline', 'Sewage treatment plant']",Nayandahalli
₹ 63 Lacs,"1,000",2 Bedroom,2 Bathroom,1.0,Grc Brundavan,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Semi,North,1/13,Bike and Car,Yes,"['Lift', 'Security', 'Visitor parking']",Nayandahalli
₹ 50 Lacs,"1,200",2 Bedroom,2 Bathroom,2.0,Arneesh Springs,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,West,1/4,Car,Yes,"['Lift', 'Fire safety', 'Security']",Nayandahalli
₹ 1.5 Crores,"2,700",4 Bedroom,10 Bathroom,,Independent House,Newly Constructed,Self Owned,Newly Constructed,"2,700 sq.ft",Semi,East,0/3,Bike,No,"['Internet provider', ""Children's play area"", 'Shopping center', 'Park']",Nayandahalli
₹ 55 Lacs,"1,500",3 Bedroom,3 Bathroom,,Independent House,>10 years,Self Owned,>10 years,"1,500 sq.ft",Fully furnished,0/2,0/2,No,No,,Nayandahalli
₹ 80 Lacs,752,2 Bedroom,1 Bathroom,1.0,Salarpuria Sattva D...,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Fully furnished,East,13/20,Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Nayandahalli
₹ 90 Lacs,"1,200",2 Bedroom,2 Bathroom,2.0,Chaitrashree Royale,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Fully furnished,East,0/5,Car,Yes,"['Intercom', 'Lift', 'Club house', 'Gas pipeline', 'Fire safety', 'Sewage treatment plant', 'Park', 'Shopping center', ""Children's play area"", 'Security', 'Swimming pool', 'Gym', 'Visitor parking']",Nayandahalli
₹ 1.5 Crores,"4,800",4 Bedroom,6 Bathroom,1.0,Independent House,5-10 years,Self Owned,5-10 years,"4,800 sq.ft",Semi,North-East,2/2,Car,Yes,['Security'],Nayandahalli
₹ 65 Lacs,850,2 Bedroom,2 Bathroom,,Grc Brundavan D Blo...,3-5 years,Self Owned,3-5 years,,Fully furnished,North,0/100,Bike and Car,No,,Nayandahalli
₹ 90 Lacs,"1,237",2 Bedroom,2 Bathroom,2.0,Salarpuria Sattva M...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Fully furnished,North-West,4/12,Car,Yes,"['Intercom', 'Lift', 'Club house', 'Fire safety', 'Sewage treatment plant', 'Shopping center', ""Children's play area"", 'Security', 'Swimming pool', 'Gym', 'Visitor parking']",Nayandahalli
₹ 1.35 Crores,"1,568",3 Bedroom,2 Bathroom,2.0,Salarpuria Sattva M...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,North,12/12,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Nayandahalli
₹ 70 Lacs,"1,140",2 Bedroom,2 Bathroom,2.0,"Radiant Karel, Naya...",5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,North,3/4,Bike and Car,Yes,"['Gym', 'Security']",Nayandahalli
₹ 65 Lacs,800,2 Bedroom,2 Bathroom,1.0,Grc Brundavan,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Unfurnished,East,2/14,Bike and Car,Yes,"['Lift', 'Internet provider', ""Children's play area"", 'Fire safety', 'Security', 'Visitor parking']",Nayandahalli
₹ 1.7 Crores,"4,800",4 Bedroom,10 Bathroom,,Panchalingeshwara N...,5-10 years,Self Owned,5-10 years,,Unfurnished,East,0/3,Bike,No,,Nayandahalli
₹ 2.1 Crores,"5,200",4 Bedroom,12 Bathroom,4.0,Independent House,1-3 years,Self Owned,1-3 years,"5,200 sq.ft",Semi,East,0/4,Car,No,"['Gas pipeline', 'Visitor parking']",Nayandahalli
₹ 65 Lacs,800,2 Bedroom,2 Bathroom,1.0,Grc Brundavan,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Fully furnished,East,3/13,Car,No,"['Lift', 'Fire safety', 'Sewage treatment plant', 'Visitor parking']",Nayandahalli
₹ 1.5 Crores,"2,900",4 Bedroom,7 Bathroom,6.0,Independent House,1-3 years,Self Owned,1-3 years,"2,900 sq.ft",Semi,East,0/3,Bike and Car,No,,Nayandahalli
₹ 80 Lacs,"1,450",2 Bedroom,2 Bathroom,2.0,Puja Comforts,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,1/3,Bike and Car,No,"['Lift', 'Intercom', ""Children's play area"", 'Sewage treatment plant', 'Visitor parking']",Padmanabhanagar
₹ 80 Lacs,"1,290",3 Bedroom,2 Bathroom,1.0,Maheshwati Arcarde,Newly Constructed,Self Owned,Newly Constructed,Vitrified Tiles,Semi,East,0/4,Bike and Car,Yes,['Security'],Padmanabhanagar
₹ 3.15 Crores,"4,500",4 Bedroom,4 Bathroom,,Standalone Building,Newly Constructed,Self Owned,Newly Constructed,,Fully furnished,East,0/4,Bike and Car,No,['Lift'],Padmanabhanagar
₹ 48 Lacs,"1,100",2 Bedroom,2 Bathroom,,Siri Square,5-10 years,Self Owned,5-10 years,,Semi,East,2/5,Bike and Car,Yes,['Security'],Padmanabhanagar
₹ 48 Lacs,"1,200",2 Bedroom,2 Bathroom,1.0,Siri Square,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,2/5,Bike and Car,Yes,['Security'],Padmanabhanagar
₹ 80 Lacs,"1,300",3 Bedroom,2 Bathroom,,Tulasi Enclave,Under Construction,Self Owned,Under Construction,,Semi,East,0/5,Bike and Car,Yes,"['Lift', 'Security']",Padmanabhanagar
₹ 60 Lacs,"1,230",2 Bedroom,2 Bathroom,2.0,Vg Enclave,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,West,1/4,Car,Yes,"['Lift', 'Security', 'Sewage treatment plant', 'Visitor parking']",Padmanabhanagar
₹ 3 Crores,"1,800",3 Bedroom,2 Bathroom,1.0,Independent House,>10 years,Self Owned,>10 years,"1,800 sq.ft",Semi,North,0/2,Bike and Car,No,,Padmanabhanagar
₹ 81.5 Lacs,"1,440",3 Bedroom,3 Bathroom,2.0,Sri Sai Krishna Apa...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,North-East,2/4,Bike and Car,Yes,"['Lift', 'Internet provider', 'Security']",Padmanabhanagar
₹ 4 Crores,"6,600",4 Bedroom,4 Bathroom,2.0,Independent House,>10 years,Self Owned,>10 years,"6,600 sq.ft",Fully furnished,East,0/3,Bike and Car,No,"['Internet provider', 'Park']",Padmanabhanagar
₹ 1.85 Crores,"2,000",3 Bedroom,4 Bathroom,4.0,Independent House,1-3 years,Self Owned,1-3 years,"2,000 sq.ft",Semi,East,3/3,Bike,No,,Padmanabhanagar
₹ 2.25 Crores,"1,316",3 Bedroom,3 Bathroom,1.0,Independent House,>10 years,Self Owned,>10 years,"1,316 sq.ft",Unfurnished,North,0/2,Car,No,,Padmanabhanagar
₹ 68 Lacs,"1,065",2 Bedroom,2 Bathroom,1.0,Bhagyalakshmi Nivas,>10 years,Self Owned,>10 years,Vitrified Tiles,Fully furnished,West,2/4,Bike and Car,Yes,"['Lift', 'Fire safety', 'Security', 'Visitor parking']",Padmanabhanagar
₹ 55 Lacs,900,2 Bedroom,1 Bathroom,1.0,Nanda Comforts,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,West,3/3,Car,Yes,"['Lift', 'Fire safety', 'Security', 'Sewage treatment plant']",Padmanabhanagar
₹ 55 Lacs,"1,150",2 Bedroom,2 Bathroom,,Nithyashree Sankalp,5-10 years,Self Owned,5-10 years,,Fully furnished,North-East,3/3,Bike and Car,Yes,"['Gym', 'Intercom', 'Swimming pool', 'Security', 'Visitor parking']",Padmanabhanagar
₹ 1.1 Crores,"1,622",3 Bedroom,3 Bathroom,2.0,Arya Comforts,Newly Constructed,Self Owned,Newly Constructed,,Semi,North,3/4,Bike and Car,Yes,"['Lift', 'Security']",Padmanabhanagar
₹ 1.7 Crores,"1,346",3 Bedroom,3 Bathroom,2.0,Brigade Nanda Heigh...,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,East,10/23,Bike and Car,Yes,"['Lift', 'Gym', 'Swimming pool', ""Children's play area"", 'Security', 'Park', 'Visitor parking']",Padmanabhanagar
₹ 2.8 Crores,"2,048",3 Bedroom,3 Bathroom,2.0,Adarsh Premia,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,East,10/24,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Padmanabhanagar
₹ 60 Lacs,"1,200",2 Bedroom,2 Bathroom,2.0,Vg Enclave,>10 years,Self Owned,>10 years,,Fully furnished,West,2/4,Car,Yes,"['Lift', 'Fire safety', 'Security', 'Sewage treatment plant', 'Visitor parking']",Padmanabhanagar
₹ 2.3 Crores,"2,600",4 Bedroom,3 Bathroom,3.0,Independent House,>10 years,Self Owned,>10 years,"2,600 sq.ft",Semi,North,1/3,Bike and Car,No,"['Shopping center', 'Gas pipeline', 'Park']",Padmanabhanagar
₹ 85 Lacs,"1,440",3 Bedroom,2 Bathroom,2.0,Mbm Residency,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,South,1/4,Car,Yes,"['Lift', 'Fire safety', 'Security']",Padmanabhanagar
₹ 60 Lacs,"1,275",3 Bedroom,2 Bathroom,2.0,Siri Exotica Plus,5-10 years,Self Owned,5-10 years,,Semi,North,2/4,Bike and Car,Yes,['Security'],Padmanabhanagar
₹ 3.9 Crores,"6,500",4 Bedroom,9 Bathroom,,Independent House,5-10 years,Self Owned,5-10 years,"6,500 sq.ft",Unfurnished,North,0/4,Bike and Car,No,,Padmanabhanagar
₹ 75 Lacs,"1,305",3 Bedroom,3 Bathroom,1.0,Maheshwathi Arcade,Newly Constructed,Self Owned,Newly Constructed,Vitrified Tiles,Unfurnished,East,1/5,Bike and Car,Yes,"['Lift', 'Security', 'Gas pipeline', 'Sewage treatment plant', 'Visitor parking']",Padmanabhanagar
₹ 60 Lacs,"1,162",2 Bedroom,2 Bathroom,,Nanda Comforts,>10 years,Self Owned,>10 years,Vitrified Tiles,Unfurnished,East,3/3,Car,Yes,['Security'],Padmanabhanagar
₹ 1.2 Crores,936,1 Bedroom,1 Bathroom,,Sobha Dream Acres A...,3-5 years,Self Owned,3-5 years,,Semi,East,0/22,Bike and Car,Yes,"['Gym', 'Security']",Panathur
₹ 90 Lacs,"1,234",2 Bedroom,2 Bathroom,2.0,Vandana Tejyesh Apa...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Fully furnished,East,1/4,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', ""Children's play area"", 'Security', 'Sewage treatment plant', 'Visitor parking']",Panathur
₹ 95 Lacs,750,1 Bedroom,1 Bathroom,1.0,Sobha Dream Acres,Newly Constructed,Self Owned,Newly Constructed,,Semi,East,0/13,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Park', 'Sewage treatment plant', 'Visitor parking']",Panathur
₹ 70 Lacs,"1,130",2 Bedroom,2 Bathroom,2.0,Sjr Residency,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Semi,West,4/4,Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Visitor parking']",Panathur
₹ 62 Lacs,"1,300",2 Bedroom,2 Bathroom,1.0,Bilva Elina Apartme...,Newly Constructed,Self Owned,Newly Constructed,,Unfurnished,West,2/4,Bike and Car,No,"['Lift', ""Children's play area""]",Panathur
₹ 80 Lacs,"1,020",2 Bedroom,2 Bathroom,1.0,Sree Urban Orchids,Newly Constructed,Self Owned,Newly Constructed,Vitrified Tiles,Unfurnished,West,1/4,Car,Yes,"['Lift', 'Club house', 'Sewage treatment plant', 'Park', ""Children's play area"", 'Security', 'Swimming pool', 'Gym']",Panathur
₹ 90 Lacs,"1,335",2 Bedroom,2 Bathroom,3.0,Isha Casablanca,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,North-East,3/4,Car,Yes,"['Intercom', 'Lift', 'Club house', 'Sewage treatment plant', 'Park', ""Children's play area"", 'Security', 'Swimming pool', 'Gym', 'Visitor parking']",Panathur
₹ 85 Lacs,"1,200",2 Bedroom,2 Bathroom,1.0,Viveks Aroma,3-5 years,Self Owned,3-5 years,,Semi,East,4/4,Bike and Car,Yes,"['Lift', 'Gym', 'Intercom', ""Children's play area"", 'Fire safety', 'Security', 'Park']",Panathur
₹ 51 Lacs,"1,023",2 Bedroom,2 Bathroom,2.0,Sri Sai Residency,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,North,4/5,Car,Yes,"['Internet provider', 'Lift', 'Sewage treatment plant', 'Security', 'Visitor parking']",Panathur
₹ 55 Lacs,"1,023",2 Bedroom,2 Bathroom,2.0,Sri Sai Residency K...,5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,North,4/5,Car,Yes,"['Lift', 'Sewage treatment plant', 'Security', 'Gym', 'Visitor parking']",Panathur
₹ 55 Lacs,"1,300",2 Bedroom,2 Bathroom,1.0,Sri Krishna Excel S...,Newly Constructed,Self Owned,Newly Constructed,,Semi,West,2/4,Bike and Car,Yes,"['Gym', 'Security']",Panathur
₹ 87 Lacs,"1,085",2 Bedroom,2 Bathroom,1.0,Cansa Dhiya,Newly Constructed,Self Owned,Newly Constructed,,Semi,East,2/4,Bike and Car,Yes,"['Lift', 'Internet provider', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Panathur
₹ 99 Lacs,"1,419",2 Bedroom,2 Bathroom,2.0,"Vandana Tejyesh, Pa...",5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,North,2/5,Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', ""Children's play area"", 'Fire safety', 'Security', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Panathur
₹ 71 Lacs,"1,155",2 Bedroom,2 Bathroom,2.0,"309, Haripriya Apar...",>10 years,Self Owned,>10 years,Vitrified Tiles,Fully furnished,North,3/4,Car,Yes,"['Lift', 'Internet provider', 'Club house', 'Intercom', ""Children's play area"", 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Panathur
₹ 5.5 Crores,"10,000",4 Bedroom,17 Bathroom,16.0,Standalone Building,Newly Constructed,Self Owned,Newly Constructed,"10,000 sq.ft",Semi,West,0/5,Car,No,['Lift'],Panathur
₹ 1.1 Crores,"1,540",3 Bedroom,2 Bathroom,3.0,"Sri Urban Orchids, ...",Under Construction,Self Owned,Under Construction,Vitrified Tiles,Semi,East,4/4,Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Panathur
₹ 78 Lacs,"1,125",2 Bedroom,2 Bathroom,2.0,Sri Guru Br Elite A...,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,East,2/5,Car,No,"['Lift', 'Club house', 'Intercom', ""Children's play area""]",Panathur
₹ 77 Lacs,"1,085",2 Bedroom,2 Bathroom,1.0,Cansa Dhiya,1-3 years,Self Owned,1-3 years,Vitrified Tiles,Semi,North,4/4,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Panathur
₹ 60 Lacs,"1,135",2 Bedroom,2 Bathroom,3.0,Sathya Sai Paradise...,3-5 years,Self Owned,3-5 years,Marble/Granite,Semi,North,2/4,Bike and Car,Yes,"['Lift', 'Intercom', ""Children's play area"", 'Security']",Panathur
₹ 60 Lacs,"1,200",3 Bedroom,4 Bathroom,3.0,Independent House,>10 years,Self Owned,>10 years,"1,200 sq.ft",Unfurnished,East,0/0,No,No,,Panathur
₹ 60 Lacs,"1,115",2 Bedroom,2 Bathroom,2.0,"Shri Paradise, Bang...",5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,2/4,Car,Yes,"['Gym', 'Intercom', 'Security']",Panathur
₹ 70 Lacs,934,2 Bedroom,2 Bathroom,2.0,Sree Urban Orchids,Newly Constructed,Self Owned,Newly Constructed,Vitrified Tiles,Semi,North,0/4,Car,Yes,"['Lift', 'Swimming pool', 'Security']",Panathur
₹ 67 Lacs,585,1 Bedroom,1 Bathroom,1.0,Adarsh Parkland,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,East,14/5,Bike and Car,Yes,"['Lift', 'Gym', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Panathur
₹ 1.01 Crores,882,2 Bedroom,1 Bathroom,1.0,Adarsh Parkland,Under Construction,Self Owned,Under Construction,Vitrified Tiles,Unfurnished,East,14/5,Bike and Car,Yes,"['Lift', 'Gym', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Panathur
₹ 1.3 Crores,"1,214",2 Bedroom,2 Bathroom,1.0,Sv Brindavanam,5-10 years,Self Owned,5-10 years,Marble/Granite,Semi,2/11,2/11,Bike and Car,Yes,"['Gym', 'Security']",Panathur
₹ 40 Lacs,860,2 Bedroom,2 Bathroom,1.0,"Platinum City, Yesw...",5-10 years,Self Owned,5-10 years,Vitrified Tiles,Semi,East,2/13,Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']",Peenya
₹ 72 Lacs,"1,199",2 Bedroom,2 Bathroom,2.0,Platinum City,>10 years,Self Owned,>10 years,Marble/Granite,Semi,North-East,0/14,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Security', 'Shopping center', 'Park', 'Visitor parking']",Peenya
₹ 75 Lacs,"1,468",3 Bedroom,3 Bathroom,2.0,Ibc Platinum City,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,North-East,4/13,Bike and Car,No,"['Lift', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']",Peenya
₹ 38 Lacs,650,2 Bedroom,2 Bathroom,,Ibc Platinum City,5-10 years,Self Owned,5-10 years,,Fully furnished,East,1/13,No,No,,Peenya
₹ 85 Lacs,"1,184",2 Bedroom,2 Bathroom,,Ibc Platinum City,5-10 years,Self Owned,5-10 years,,Fully furnished,East,5/14,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', 'Security', 'Park', 'Visitor parking']",Peenya
₹ 1.79 Crores,"3,000",4 Bedroom,3 Bathroom,3.0,Ibc Platinum City,>10 years,Self Owned,>10 years,,Semi,South-West,13/13,Bike and Car,Yes,"['Shopping center', 'Park', 'Swimming pool', 'Visitor parking', 'Club house', 'Gym', 'Sewage treatment plant', ""Children's play area"", 'Fire safety', 'Lift', 'Security']",Peenya
